"module name","licenses","repository","licenseUrl","parents"
"@babel/code-frame@7.12.11","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","learn-starter"
"@babel/helper-validator-identifier@7.14.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","learn-starter"
"@babel/highlight@7.14.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","learn-starter"
"@babel/runtime-corejs3@7.14.7","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","learn-starter"
"@babel/runtime@7.12.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","learn-starter"
"@babel/types@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-types","https://github.com/babel/babel/tree/master/packages/babel-types/raw/master/LICENSE","learn-starter"
"@eslint/eslintrc@0.4.2","MIT","https://github.com/eslint/eslintrc","https://github.com/eslint/eslintrc/raw/master/LICENSE","learn-starter"
"@hapi/accept@5.0.2","BSD-3-Clause","https://github.com/hapijs/accept","https://github.com/hapijs/accept/raw/master/LICENSE.md","learn-starter"
"@hapi/boom@9.1.2","BSD-3-Clause","https://github.com/hapijs/boom","https://github.com/hapijs/boom/raw/master/LICENSE.md","learn-starter"
"@hapi/hoek@9.2.0","BSD-3-Clause","https://github.com/hapijs/hoek","https://github.com/hapijs/hoek/raw/master/LICENSE.md","learn-starter"
"@humanwhocodes/config-array@0.5.0","Apache-2.0","https://github.com/humanwhocodes/config-array","https://github.com/humanwhocodes/config-array/raw/master/LICENSE","learn-starter"
"@humanwhocodes/object-schema@1.2.0","BSD-3-Clause","https://github.com/humanwhocodes/object-schema","https://github.com/humanwhocodes/object-schema/raw/master/LICENSE","learn-starter"
"@next/env@10.2.3","MIT","https://github.com/vercel/next.js","https://github.com/vercel/next.js/raw/master/license.md","learn-starter"
"@next/eslint-plugin-next@11.0.1","MIT","https://github.com/vercel/next.js","https://github.com/vercel/next.js/raw/master/license.md","learn-starter"
"@next/polyfill-module@10.2.3","MIT","https://github.com/vercel/next.js","https://github.com/vercel/next.js/raw/master/license.md","learn-starter"
"@next/react-dev-overlay@10.2.3","MIT","https://github.com/vercel/next.js","https://github.com/vercel/next.js/raw/master/license.md","learn-starter"
"@next/react-refresh-utils@10.2.3","MIT","https://github.com/vercel/next.js","https://github.com/vercel/next.js/raw/master/license.md","learn-starter"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir/raw/master/LICENSE","learn-starter"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat/raw/master/LICENSE","learn-starter"
"@nodelib/fs.walk@1.2.7","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk/raw/master/LICENSE","learn-starter"
"@opentelemetry/api@0.14.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js","https://github.com/open-telemetry/opentelemetry-js/raw/master/LICENSE","learn-starter"
"@opentelemetry/context-base@0.14.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js","https://github.com/open-telemetry/opentelemetry-js/raw/master/LICENSE","learn-starter"
"@rushstack/eslint-patch@1.0.6","MIT","https://github.com/microsoft/rushstack/tree/master/stack/eslint-patch","https://github.com/microsoft/rushstack/tree/master/stack/eslint-patch/raw/master/LICENSE","learn-starter"
"@types/json-schema@7.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","learn-starter"
"@types/json5@0.0.29","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped","learn-starter"
"@types/node@15.12.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","learn-starter"
"@types/prop-types@15.7.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","learn-starter"
"@types/react@17.0.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","learn-starter"
"@types/scheduler@0.16.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","learn-starter"
"@typescript-eslint/eslint-plugin@4.28.1","MIT","https://github.com/typescript-eslint/typescript-eslint","https://github.com/typescript-eslint/typescript-eslint/raw/master/LICENSE","learn-starter"
"@typescript-eslint/experimental-utils@4.28.1","MIT","https://github.com/typescript-eslint/typescript-eslint","https://github.com/typescript-eslint/typescript-eslint/raw/master/LICENSE","learn-starter"
"@typescript-eslint/parser@4.28.1","BSD-2-Clause","https://github.com/typescript-eslint/typescript-eslint","https://github.com/typescript-eslint/typescript-eslint/raw/master/LICENSE","learn-starter"
"@typescript-eslint/scope-manager@4.28.1","MIT","https://github.com/typescript-eslint/typescript-eslint","https://github.com/typescript-eslint/typescript-eslint/raw/master/LICENSE","learn-starter"
"@typescript-eslint/types@4.28.1","MIT","https://github.com/typescript-eslint/typescript-eslint","https://github.com/typescript-eslint/typescript-eslint/raw/master/LICENSE","learn-starter"
"@typescript-eslint/typescript-estree@4.28.1","BSD-2-Clause","https://github.com/typescript-eslint/typescript-eslint","https://github.com/typescript-eslint/typescript-eslint/raw/master/LICENSE","learn-starter"
"@typescript-eslint/visitor-keys@4.28.1","MIT","https://github.com/typescript-eslint/typescript-eslint","https://github.com/typescript-eslint/typescript-eslint/raw/master/LICENSE","learn-starter"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js","https://github.com/isaacs/abbrev-js/raw/master/LICENSE","learn-starter"
"acorn-jsx@5.3.1","MIT","https://github.com/acornjs/acorn-jsx","https://github.com/acornjs/acorn-jsx/raw/master/LICENSE","learn-starter"
"acorn@7.4.1","MIT","https://github.com/acornjs/acorn","https://github.com/acornjs/acorn/raw/master/LICENSE","learn-starter"
"ajv@6.12.6","MIT","https://github.com/ajv-validator/ajv","https://github.com/ajv-validator/ajv/raw/master/LICENSE","learn-starter"
"ajv@8.6.1","MIT","https://github.com/ajv-validator/ajv","https://github.com/ajv-validator/ajv/raw/master/LICENSE","table:learn-starter"
